id,first_name,last_name,email,gender,medical diagnosis,total sales,salary,average grade,costs
1,Trey,Jermey,tjermey0@unblog.fr,Male,S32048A,20645,128614,4.9,32880
2,Cathlene,Tesmond,ctesmond1@upenn.edu,Female,Y36141,69496,64944,7.1,79860
3,Caesar,Grahame,cgrahame2@sakura.ne.jp,Male,S7226XE,42458,131372,8.5,43894
4,Crosby,Lehrer,clehrer3@apple.com,Male,V522XXS,10441,56101,1.9,28976
5,Jorgan,Sjollema,jsjollema4@plala.or.jp,Male,Y07433,12079,92468,8.3,62805
6,Harwilll,Darell,hdarell5@creativecommons.org,Male,T63082,21600,33333,7.2,68876
7,Oswald,Doniso,odoniso6@yolasite.com,Male,S80841,79233,86085,2.6,43840
8,Barthel,Fairpool,bfairpool7@edublogs.org,Male,T463X4,34555,38055,2.7,52919
9,Matthus,Stott,mstott8@wix.com,Male,Z510,54835,46859,0.2,76131
10,Lusa,Touzey,ltouzey9@newyorker.com,Female,T4592,97651,33592,9.7,38514
11,Vachel,Robinett,vrobinetta@guardian.co.uk,Genderqueer,S52002E,77140,136391,3.9,51037
12,Lorianne,Dionisetto,ldionisettob@businessinsider.com,Female,S92052G,31125,14303,8.7,60177
13,Joye,Bohea,jboheac@freewebs.com,Female,L0292,27651,74188,10.0,26517
14,Lanie,Hannon,lhannond@biglobe.ne.jp,Male,T82390S,67688,133485,5.8,31510
15,Rubie,Burgill,rburgille@thetimes.co.uk,Female,T500X4A,14629,90404,6.4,75125
16,Danna,Whight,dwhightf@irs.gov,Female,S29001,54471,94733,4.3,40966
17,Sammie,Roberto,srobertog@pinterest.com,Male,S60051S,29907,125052,4.9,21488
18,Howey,Bence,hbenceh@netlog.com,Polygender,S1192XS,39541,133008,1.0,55547
19,Beatrice,Selwin,bselwini@pen.io,Female,S36118S,57962,66821,3.9,42170
20,Ashlin,Hunter,ahunterj@discuz.net,Male,S58119D,10705,70474,3.9,34293
21,Mozelle,Colquhoun,mcolquhounk@hc360.com,Female,S31634,39614,49162,3.3,31285
22,Revkah,Shafier,rshafierl@wsj.com,Female,T650X2S,91875,128321,5.0,27598
23,Toinette,Suatt,tsuattm@ustream.tv,Female,S63255,67474,65768,1.1,58965
24,Farley,Van der Brugge,fvanderbruggen@telegraph.co.uk,Male,T38814S,86616,125507,2.4,78725
